                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.88075,                0.54234,                 1.1591,                 1.0573,                0.63441,                  1.168,                0.85127,                0.81675,                0.89243,                0.71917,                0.78026,                0.48972,                 1.1264,                0.87178,                0.53954,                 1.1493,              0.0056459,              0.0056459,              0.0056459
                     25,                0.88174,                0.53687,                 1.1595,                 1.0576,                0.63063,                 1.1675,                0.85013,                0.82563,                0.89551,                0.72109,                0.78124,                0.48723,                 1.1271,                0.87234,                0.53913,                 1.1448,               0.005454,               0.005454,               0.005454
                     26,                0.86457,                0.52938,                 1.1524,                 1.0414,                0.61591,                 1.1599,                0.85426,                0.82712,                 0.8993,                0.72546,                0.77403,                0.47953,                 1.1198,                0.86427,                0.52283,                 1.1381,              0.0052582,              0.0052582,              0.0052582
                     27,                0.86585,                0.52911,                 1.1554,                 1.0404,                 0.6151,                 1.1645,                0.85828,                0.82412,                0.90036,                0.72695,                0.76897,                0.47985,                 1.1167,                0.85757,                0.51908,                 1.1367,               0.005059,               0.005059,               0.005059
                     28,                0.85339,                 0.5226,                 1.1444,                 1.0291,                0.60491,                 1.1518,                0.85701,                0.82906,                0.90252,                0.73079,                0.76397,                0.47174,                 1.1145,                0.85081,                 0.5195,                 1.1301,               0.004857,               0.004857,               0.004857
                     29,                0.85141,                0.51377,                 1.1412,                 1.0257,                0.60238,                 1.1483,                0.86582,                0.82691,                0.90415,                0.73489,                 0.7572,                0.46446,                 1.1101,                0.84527,                0.50396,                 1.1262,              0.0046527,              0.0046527,              0.0046527
                     30,                0.84689,                0.51309,                 1.1401,                 1.0205,                0.59425,                 1.1485,                0.85912,                0.83556,                0.90505,                 0.7356,                0.75348,                0.45688,                 1.1093,                0.83881,                0.50152,                 1.1271,              0.0044468,              0.0044468,              0.0044468
                     31,                0.84431,                0.50797,                 1.1426,                 1.0147,                 0.5905,                 1.1517,                0.86186,                0.83556,                0.90831,                0.74267,                0.74322,                0.45068,                 1.1043,                0.82718,                0.49155,                 1.1218,              0.0042397,              0.0042397,              0.0042397
                     32,                0.83842,                0.50119,                 1.1357,                 1.0093,                0.58125,                 1.1423,                0.86574,                0.82584,                0.90529,                0.74139,                0.74278,                0.45132,                 1.1024,                0.82674,                0.49595,                 1.1161,               0.004032,               0.004032,               0.004032
                     33,                0.83001,                0.49465,                 1.1353,                0.99609,                0.57312,                 1.1425,                0.87023,                 0.8346,                0.91005,                0.74452,                 0.7406,                 0.4512,                 1.1022,                0.82721,                0.48308,                 1.1184,              0.0038243,              0.0038243,              0.0038243
                     34,                0.83158,                0.49348,                 1.1354,                0.99962,                0.56876,                 1.1417,                0.86608,                0.84457,                0.91323,                0.74773,                0.73248,                0.44075,                  1.096,                0.81616,                0.47805,                 1.1114,              0.0036172,              0.0036172,              0.0036172
                     35,                0.82175,                  0.488,                 1.1265,                0.99204,                0.56036,                 1.1344,                0.87066,                0.83925,                0.91252,                0.74807,                0.73176,                0.44277,                 1.0969,                0.81349,                0.47803,                 1.1101,              0.0034113,              0.0034113,              0.0034113
                     36,                0.82175,                0.48865,                 1.1258,                0.99169,                 0.5626,                 1.1315,                0.87461,                0.84262,                0.91468,                0.75123,                0.73378,                0.43602,                 1.0963,                0.81639,                0.46812,                 1.1102,               0.003207,               0.003207,               0.003207
                     37,                0.81555,                0.48206,                 1.1254,                0.98222,                0.55528,                 1.1313,                0.87507,                0.84421,                0.91615,                 0.7531,                0.72767,                0.43247,                 1.0945,                0.80717,                0.46707,                 1.1076,               0.003005,               0.003005,               0.003005
                     38,                0.81234,                0.48021,                 1.1227,                0.97717,                0.54812,                 1.1293,                 0.8751,                0.84993,                0.91761,                 0.7545,                0.72361,                0.42647,                 1.0908,                0.80353,                0.46182,                 1.1062,              0.0028058,              0.0028058,              0.0028058
                     39,                0.80999,                0.47457,                 1.1228,                0.97482,                0.54518,                 1.1279,                0.87461,                0.84915,                0.91821,                0.75544,                0.72167,                0.42674,                 1.0886,                0.80272,                0.45635,                 1.1037,                0.00261,                0.00261,                0.00261
                     40,                0.79169,                0.46332,                 1.1106,                0.95431,                0.52886,                 1.1163,                0.88444,                0.84758,                0.92133,                0.76147,                0.71447,                0.41707,                 1.0854,                0.79507,                0.44121,                 1.0992,              0.0024181,              0.0024181,              0.0024181
                     41,                0.75918,                0.43821,                 1.1073,                0.88609,                0.47217,                 1.1164,                0.88364,                0.85112,                0.92065,                0.75929,                0.71771,                0.41705,                 1.0863,                 0.7996,                0.44479,                  1.101,              0.0022306,              0.0022306,              0.0022306
                     42,                0.74954,                0.42655,                 1.1011,                0.87782,                0.46096,                 1.1091,                   0.89,                0.85101,                0.92254,                0.76339,                0.71104,                0.41178,                 1.0841,                0.79375,                0.43616,                  1.097,               0.002048,               0.002048,               0.002048
                     43,                0.74238,                0.42249,                  1.095,                0.86617,                 0.4566,                 1.1022,                0.89071,                0.85523,                0.92395,                0.76483,                0.70915,                0.40858,                 1.0799,                 0.7895,                 0.4331,                 1.0935,              0.0018709,              0.0018709,              0.0018709
                     44,                0.73598,                0.41691,                 1.0936,                0.85846,                 0.4495,                 1.1004,                0.89012,                0.85815,                0.92459,                0.76576,                0.70659,                0.40476,                 1.0798,                0.78879,                0.42881,                 1.0938,              0.0016997,              0.0016997,              0.0016997
                     45,                0.73087,                0.41223,                 1.0881,                 0.8541,                0.44782,                 1.0957,                0.89408,                0.85888,                 0.9261,                0.76813,                 0.7046,                0.40154,                 1.0781,                0.78214,                0.42783,                 1.0916,              0.0015349,              0.0015349,              0.0015349
                     46,                0.72792,                0.40561,                 1.0845,                   0.85,                0.43636,                 1.0904,                0.89486,                 0.8616,                0.92762,                0.76942,                0.70088,                0.39715,                 1.0759,                0.78014,                0.42075,                 1.0896,              0.0013769,              0.0013769,              0.0013769
                     47,                0.72327,                0.40297,                 1.0871,                0.84775,                0.43314,                 1.0942,                0.89856,                0.85909,                0.92793,                0.76915,                0.70071,                0.39458,                 1.0753,                0.78312,                 0.4161,                 1.0895,              0.0012262,              0.0012262,              0.0012262
                     48,                 0.7209,                0.39736,                 1.0802,                0.84519,                0.42644,                 1.0872,                0.90192,                0.86174,                0.93027,                0.77262,                0.69808,                0.39175,                 1.0727,                0.77844,                 0.4118,                 1.0862,              0.0010832,              0.0010832,              0.0010832
                     49,                0.71241,                0.39552,                 1.0763,                0.83423,                0.41973,                 1.0829,                0.89996,                0.86223,                0.92986,                0.77312,                0.69646,                0.39274,                 1.0723,                0.77576,                0.41442,                 1.0848,             0.00094828,             0.00094828,             0.00094828
                     50,                0.70977,                0.38889,                 1.0743,                0.82829,                0.41246,                 1.0808,                0.90498,                0.86247,                0.93151,                0.77514,                0.69299,                0.38726,                 1.0698,                0.77095,                 0.4064,                 1.0823,             0.00082182,             0.00082182,             0.00082182
                     51,                0.70632,                0.38776,                 1.0748,                0.82644,                0.41572,                 1.0796,                 0.9082,                0.85795,                0.93157,                 0.7756,                0.69362,                0.38768,                 1.0705,                0.77066,                0.40709,                 1.0823,             0.00070416,             0.00070416,             0.00070416
                     52,                0.70534,                0.38328,                 1.0731,                0.82355,                 0.4064,                 1.0775,                0.90782,                0.86203,                0.93317,                0.77717,                0.69279,                0.38523,                 1.0708,                0.76973,                0.40169,                 1.0825,             0.00059561,             0.00059561,             0.00059561
                     53,                0.70196,                0.38051,                 1.0714,                 0.8206,                0.40262,                 1.0759,                0.90658,                 0.8636,                0.93288,                0.77711,                0.69049,                0.38425,                 1.0701,                0.76724,                0.40205,                 1.0813,             0.00049649,             0.00049649,             0.00049649
                     54,                0.69589,                 0.3757,                 1.0675,                0.81026,                0.39603,                 1.0731,                0.90384,                0.86527,                0.93256,                0.77759,                0.68907,                0.38406,                 1.0688,                0.76471,                0.40164,                   1.08,             0.00040705,             0.00040705,             0.00040705
                     55,                0.69663,                0.37445,                 1.0696,                0.81303,                0.39907,                 1.0746,                0.90682,                0.86735,                0.93299,                0.77853,                0.68705,                0.38179,                  1.067,                 0.7642,                0.39861,                 1.0787,             0.00032755,             0.00032755,             0.00032755
                     56,                0.69317,                  0.373,                  1.065,                0.81119,                0.39486,                 1.0704,                0.90869,                0.86552,                0.93443,                0.77978,                  0.687,                0.38031,                 1.0672,                0.76281,                0.39852,                 1.0784,             0.00025821,             0.00025821,             0.00025821
                     57,                0.69036,                0.37185,                 1.0672,                0.80495,                0.39114,                 1.0719,                 0.9124,                 0.8631,                0.93424,                0.77906,                 0.6865,                0.37979,                 1.0668,                 0.7638,                 0.3945,                 1.0789,             0.00019921,             0.00019921,             0.00019921
                     58,                0.68702,                0.36931,                 1.0642,                0.80418,                0.38772,                  1.069,                0.90775,                0.86855,                0.93472,                0.77945,                0.68735,                0.37934,                 1.0669,                 0.7651,                0.39413,                 1.0795,             0.00015071,             0.00015071,             0.00015071
                     59,                0.68875,                 0.3687,                 1.0619,                0.80891,                0.38876,                 1.0679,                0.90635,                0.87016,                0.93431,                0.77981,                 0.6864,                0.37891,                 1.0661,                0.76293,                0.39453,                 1.0779,             0.00011285,             0.00011285,             0.00011285
                     60,                0.68828,                0.37076,                 1.0619,                0.80673,                0.39259,                 1.0669,                0.90846,                0.87025,                0.93472,                0.78053,                 0.6848,                0.37807,                 1.0657,                0.76268,                 0.3929,                 1.0781,             8.5737e-05,             8.5737e-05,             8.5737e-05
