                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.89545,                0.54959,                 1.1668,                 1.0737,                0.64372,                 1.1746,                0.85315,                 0.8149,                0.89451,                0.71804,                0.78884,                0.49107,                 1.1318,                0.87637,                0.54143,                 1.1494,              0.0062541,              0.0062541,              0.0062541
                     25,                0.88033,                0.54169,                 1.1591,                 1.0596,                0.63148,                 1.1674,                0.84355,                0.81933,                0.89151,                0.71835,                0.78783,                0.50273,                 1.1251,                0.87671,                0.56413,                 1.1429,              0.0061747,              0.0061747,              0.0061747
                     26,                 0.8778,                0.54139,                 1.1613,                 1.0551,                 0.6304,                 1.1715,                0.86744,                 0.8149,                 0.8994,                 0.7261,                0.77324,                0.47697,                 1.1218,                0.86515,                0.52189,                 1.1428,              0.0060954,              0.0060954,              0.0060954
                     27,                0.87051,                 0.5374,                 1.1528,                  1.048,                0.61768,                 1.1603,                 0.8444,                0.82963,                0.89743,                0.72532,                0.77256,                0.47624,                 1.1204,                0.86308,                 0.5252,                 1.1382,               0.006016,               0.006016,               0.006016
                     28,                0.86958,                0.52799,                 1.1506,                 1.0444,                0.61826,                 1.1591,                0.85246,                0.83513,                0.90106,                0.72682,                0.77137,                0.48194,                 1.1181,                0.86465,                0.52946,                 1.1395,              0.0059366,              0.0059366,              0.0059366
                     29,                0.86664,                0.52793,                 1.1511,                 1.0429,                0.60459,                 1.1595,                0.85628,                0.82969,                0.90342,                0.72981,                0.76696,                0.46833,                 1.1163,                0.85691,                0.51415,                 1.1359,              0.0058573,              0.0058573,              0.0058573
                     30,                0.86138,                0.52303,                 1.1508,                 1.0349,                0.60228,                 1.1608,                0.86336,                0.83338,                0.90604,                0.73422,                0.75707,                 0.4631,                 1.1133,                 0.8488,                0.50115,                 1.1339,              0.0057779,              0.0057779,              0.0057779
                     31,                0.85412,                0.51564,                 1.1428,                 1.0296,                0.59396,                 1.1511,                 0.8549,                0.84073,                0.90581,                0.73727,                 0.7542,                0.46101,                 1.1104,                0.84079,                0.50198,                 1.1294,              0.0056986,              0.0056986,              0.0056986
                     32,                0.84702,                0.50966,                 1.1432,                 1.0184,                0.58764,                 1.1525,                0.86511,                 0.8321,                0.90738,                0.73827,                0.75093,                0.45796,                 1.1077,                0.83619,                0.49787,                 1.1242,              0.0056192,              0.0056192,              0.0056192
                     33,                0.85288,                0.51116,                 1.1453,                 1.0244,                0.58998,                 1.1527,                 0.8685,                0.84143,                0.91118,                0.74313,                0.74491,                0.45107,                 1.1036,                0.83286,                0.48575,                 1.1213,              0.0055398,              0.0055398,              0.0055398
                     34,                0.84377,                0.50581,                  1.137,                 1.0215,                0.58335,                 1.1469,                0.86263,                0.84286,                0.91144,                 0.7441,                0.74078,                0.45453,                 1.1021,                0.82824,                0.49059,                 1.1192,              0.0054605,              0.0054605,              0.0054605
                     35,                0.84496,                 0.5059,                 1.1368,                 1.0188,                0.58056,                 1.1433,                0.86324,                0.84744,                0.91184,                0.74595,                0.73947,                0.44585,                 1.1012,                0.82815,                0.47932,                 1.1181,              0.0053811,              0.0053811,              0.0053811
                     36,                0.83893,                 0.5015,                 1.1359,                 1.0112,                0.57535,                 1.1442,                0.87008,                0.84446,                0.91549,                0.74754,                0.73618,                0.44222,                 1.0989,                0.81841,                0.47956,                 1.1134,              0.0053018,              0.0053018,              0.0053018
                     37,                 0.8356,                0.49903,                 1.1351,                  1.007,                 0.5643,                 1.1417,                0.87397,                0.84471,                0.91631,                0.75068,                0.73181,                 0.4348,                 1.0968,                0.81624,                0.46246,                 1.1119,              0.0052224,              0.0052224,              0.0052224
                     38,                0.83346,                0.49336,                  1.134,                 1.0043,                0.56642,                 1.1392,                0.87743,                   0.84,                0.91653,                0.75135,                0.72935,                0.43693,                 1.0948,                0.81271,                0.47118,                 1.1082,               0.005143,               0.005143,               0.005143
                     39,                0.81707,                0.48445,                 1.1234,                0.98484,                0.54739,                 1.1295,                0.87021,                0.85337,                0.91864,                0.75646,                0.72314,                0.42755,                 1.0906,                0.80378,                0.45976,                 1.1042,              0.0050637,              0.0050637,              0.0050637
                     40,                0.82372,                0.48706,                 1.1263,                0.99456,                0.55675,                 1.1325,                0.87644,                0.85266,                0.91973,                0.75585,                0.72264,                0.42727,                 1.0899,                0.80492,                0.45597,                 1.1045,              0.0049843,              0.0049843,              0.0049843
                     41,                0.81992,                0.48292,                 1.1262,                0.98904,                0.55141,                 1.1328,                0.88809,                0.84687,                0.92111,                0.75823,                0.71634,                0.42216,                 1.0857,                0.80166,                0.45036,                 1.1017,               0.004905,               0.004905,               0.004905
                     42,                0.81884,                0.48277,                 1.1261,                0.99184,                0.55102,                 1.1329,                 0.8848,                0.84701,                0.92065,                0.75992,                0.71792,                0.42363,                 1.0876,                0.79666,                0.45364,                 1.0999,              0.0048256,              0.0048256,              0.0048256
                     43,                0.81377,                0.47569,                 1.1229,                0.98078,                0.54188,                 1.1294,                0.87975,                0.85141,                0.92067,                0.76058,                0.71331,                 0.4213,                 1.0848,                0.79464,                0.45118,                 1.0973,              0.0047462,              0.0047462,              0.0047462
                     44,                0.81318,                0.47396,                  1.123,                   0.98,                 0.5421,                 1.1308,                0.88121,                0.85586,                 0.9231,                0.76365,                0.71061,                0.41155,                 1.0834,                0.78898,                0.43707,                 1.0974,              0.0046669,              0.0046669,              0.0046669
                     45,                0.80581,                0.46637,                 1.1186,                0.97476,                0.53081,                 1.1254,                0.88862,                0.85852,                0.92493,                 0.7661,                0.70693,                0.40834,                 1.0828,                0.78546,                 0.4361,                 1.0947,              0.0045875,              0.0045875,              0.0045875
                     46,                0.80245,                 0.4669,                 1.1198,                 0.9669,                0.52829,                 1.1268,                0.88518,                0.85588,                0.92573,                 0.7657,                0.70625,                0.40924,                 1.0805,                0.78775,                0.43243,                 1.0955,              0.0045082,              0.0045082,              0.0045082
                     47,                0.80247,                0.46534,                 1.1174,                0.96924,                0.52926,                 1.1245,                0.89154,                0.85426,                 0.9266,                0.76919,                0.70112,                0.40697,                 1.0782,                0.77647,                0.43398,                 1.0884,              0.0044288,              0.0044288,              0.0044288
                     48,                0.80423,                 0.4668,                 1.1158,                0.97563,                0.53242,                 1.1236,                 0.8935,                0.86382,                0.92913,                0.76996,                0.69791,                0.40457,                 1.0766,                0.77707,                0.42305,                 1.0884,              0.0043494,              0.0043494,              0.0043494
                     49,                0.80207,                0.46421,                 1.1149,                0.96937,                0.52618,                 1.1219,                0.89275,                0.86246,                0.93005,                0.77235,                  0.696,                0.39829,                  1.075,                0.77453,                0.41894,                 1.0881,              0.0042701,              0.0042701,              0.0042701
                     50,                0.79354,                0.45721,                 1.1124,                0.95893,                0.52304,                 1.1176,                0.88978,                0.86724,                0.93062,                0.77356,                0.69565,                0.39357,                 1.0743,                0.77163,                0.41518,                 1.0859,              0.0041907,              0.0041907,              0.0041907
                     51,                0.78981,                0.45641,                 1.1108,                0.95286,                0.51605,                 1.1174,                0.89102,                 0.8684,                0.93109,                0.77315,                0.69301,                 0.3941,                 1.0728,                0.76949,                0.41684,                 1.0846,              0.0041114,              0.0041114,              0.0041114
                     52,                0.78839,                0.45029,                 1.1037,                0.95507,                0.50653,                 1.1104,                0.89749,                 0.8656,                0.93215,                0.77712,                0.68816,                0.39376,                 1.0705,                0.76536,                0.41398,                 1.0825,               0.004032,               0.004032,               0.004032
                     53,                0.78365,                0.44959,                 1.1037,                0.94723,                0.50831,                 1.1119,                0.89883,                0.87313,                0.93463,                0.77796,                0.68915,                0.39007,                 1.0703,                0.76384,                0.40822,                 1.0823,              0.0039526,              0.0039526,              0.0039526
                     54,                0.78539,                0.44778,                 1.1054,                0.94885,                0.50719,                 1.1114,                0.90391,                 0.8709,                0.93507,                0.78146,                 0.6834,                0.38593,                 1.0672,                0.75858,                0.40117,                 1.0792,              0.0038733,              0.0038733,              0.0038733
                     55,                0.77584,                0.44341,                  1.104,                0.93833,                0.49721,                 1.1109,                0.89714,                0.87716,                0.93557,                 0.7813,                 0.6804,                0.38212,                 1.0657,                0.75618,                0.39897,                 1.0767,              0.0037939,              0.0037939,              0.0037939
                     56,                0.77459,                0.44044,                 1.1025,                0.94028,                0.49888,                 1.1115,                0.90302,                0.86982,                0.93475,                0.78176,                0.67888,                0.38092,                 1.0641,                0.75498,                 0.3959,                  1.076,              0.0037146,              0.0037146,              0.0037146
                     57,                0.77358,                 0.4392,                 1.0993,                 0.9345,                 0.4916,                 1.1069,                0.90136,                0.87519,                0.93626,                0.78235,                0.68024,                0.38037,                 1.0644,                0.75372,                0.39716,                 1.0749,              0.0036352,              0.0036352,              0.0036352
                     58,                0.77118,                0.43515,                 1.0985,                0.93702,                0.48885,                 1.1049,                0.90452,                0.87272,                0.93579,                0.78217,                 0.6789,                0.37701,                 1.0637,                0.75485,                0.39248,                 1.0764,              0.0035558,              0.0035558,              0.0035558
                     59,                 0.7682,                 0.4365,                 1.0985,                0.93176,                0.49135,                 1.1073,                0.90409,                0.87719,                0.93726,                0.78434,                0.67405,                0.37538,                 1.0601,                0.75112,                0.38884,                 1.0736,              0.0034765,              0.0034765,              0.0034765
                     60,                0.76807,                0.43336,                 1.0975,                0.92991,                0.48548,                  1.106,                 0.9043,                0.87794,                0.93807,                0.78447,                0.67313,                0.37538,                 1.0603,                0.74871,                0.38888,                 1.0731,              0.0033971,              0.0033971,              0.0033971
                     61,                0.76547,                0.43279,                 1.0976,                 0.9271,                0.48862,                 1.1056,                0.90251,                0.88327,                0.93846,                0.78709,                0.66985,                0.37043,                 1.0581,                0.74382,                0.38604,                 1.0707,              0.0033178,              0.0033178,              0.0033178
                     62,                0.76434,                0.43045,                 1.0953,                0.92715,                0.48376,                 1.1021,                0.91152,                0.87733,                0.94016,                0.78815,                 0.6676,                0.36789,                  1.057,                0.74098,                0.38113,                  1.069,              0.0032384,              0.0032384,              0.0032384
                     63,                0.76198,                0.42764,                 1.0963,                0.91963,                0.47978,                 1.1032,                0.91409,                0.87599,                0.94064,                0.79047,                0.66558,                0.36608,                 1.0563,                0.73925,                0.37829,                 1.0679,               0.003159,               0.003159,               0.003159
                     64,                0.75503,                0.42273,                  1.089,                0.91196,                0.47703,                  1.096,                0.91379,                0.87642,                 0.9406,                0.78974,                0.66789,                0.36406,                 1.0566,                0.74012,                0.37893,                 1.0677,              0.0030797,              0.0030797,              0.0030797
                     65,                0.75682,                0.42317,                 1.0892,                0.91737,                0.47619,                 1.0961,                 0.9077,                0.88415,                0.94108,                0.79132,                0.66438,                0.36149,                 1.0554,                0.73667,                0.37637,                 1.0653,              0.0030003,              0.0030003,              0.0030003
                     66,                0.75548,                0.42069,                 1.0906,                 0.9144,                0.47082,                 1.0972,                0.90929,                0.88479,                0.94192,                0.79255,                0.66229,                0.36145,                 1.0539,                0.73445,                0.37445,                 1.0644,               0.002921,               0.002921,               0.002921
                     67,                0.74993,                0.41627,                  1.087,                0.90933,                 0.4663,                 1.0943,                0.91562,                 0.8822,                0.94213,                0.79253,                0.66143,                0.35885,                 1.0541,                 0.7343,                0.36914,                 1.0651,              0.0028416,              0.0028416,              0.0028416
                     68,                0.74957,                0.41385,                 1.0841,                0.91072,                0.46101,                  1.091,                0.91123,                0.88991,                0.94332,                0.79405,                0.65988,                0.35702,                  1.053,                0.73273,                0.36493,                 1.0634,              0.0027622,              0.0027622,              0.0027622
                     69,                0.74627,                0.41884,                 1.0857,                0.90297,                0.46046,                 1.0918,                0.91693,                0.88423,                0.94342,                0.79518,                0.65784,                0.35554,                  1.052,                0.73019,                0.36452,                 1.0617,              0.0026829,              0.0026829,              0.0026829
                     70,                0.74171,                0.41487,                 1.0852,                0.89837,                 0.4603,                 1.0912,                 0.9189,                0.88327,                0.94453,                0.79655,                0.65661,                0.35363,                 1.0513,                0.72793,                0.36175,                 1.0605,              0.0026035,              0.0026035,              0.0026035
                     71,                0.74365,                0.40961,                 1.0841,                0.90472,                0.45621,                  1.091,                0.91522,                0.89035,                0.94585,                0.79785,                0.65432,                0.35096,                 1.0496,                 0.7258,                0.35747,                 1.0594,              0.0025242,              0.0025242,              0.0025242
                     72,                0.74055,                0.40819,                 1.0844,                0.89835,                0.45495,                 1.0912,                0.91594,                0.89232,                0.94608,                0.79869,                0.65315,                0.34999,                 1.0489,                0.72352,                0.35574,                 1.0588,              0.0024448,              0.0024448,              0.0024448
                     73,                0.73589,                 0.4067,                 1.0791,                0.89581,                0.45055,                 1.0866,                0.91591,                  0.892,                0.94584,                  0.799,                 0.6519,                0.34807,                 1.0482,                 0.7222,                0.35425,                 1.0581,              0.0023654,              0.0023654,              0.0023654
                     74,                 0.7362,                0.40496,                 1.0806,                0.89226,                0.45028,                  1.088,                0.91699,                0.89178,                0.94588,                0.79947,                0.64987,                0.34714,                  1.047,                0.71945,                0.35441,                 1.0562,              0.0022861,              0.0022861,              0.0022861
