                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92706,                0.57279,                 1.1796,                 1.1313,                0.68459,                 1.1882,                 0.8427,                0.80674,                0.88418,                0.70478,                0.80605,                0.51791,                 1.1413,                0.90246,                0.57254,                 1.1613,              0.0050901,              0.0050901,              0.0050901
                     25,                0.91859,                0.56828,                  1.176,                 1.1208,                0.67813,                  1.185,                0.83847,                  0.812,                0.88241,                 0.7037,                0.80573,                0.51768,                 1.1389,                0.90129,                0.57635,                 1.1588,              0.0049579,              0.0049579,              0.0049579
                     26,                0.91619,                0.56273,                 1.1746,                 1.1186,                0.67077,                  1.182,                0.83478,                0.81883,                0.88328,                0.70743,                0.79635,                 0.5049,                 1.1343,                0.89096,                0.55919,                  1.153,              0.0048256,              0.0048256,              0.0048256
                     27,                0.91341,                0.55946,                 1.1704,                 1.1135,                0.66565,                 1.1775,                0.84451,                0.81482,                0.88667,                0.71117,                0.79152,                 0.4981,                 1.1285,                0.88379,                0.55016,                 1.1478,              0.0046933,              0.0046933,              0.0046933
                     28,                0.90394,                0.55554,                 1.1632,                 1.1089,                0.66265,                 1.1724,                0.85008,                0.81886,                0.88846,                0.71399,                0.79096,                0.49612,                 1.1291,                0.88141,                0.54211,                 1.1462,              0.0045611,              0.0045611,              0.0045611
                     29,                0.90243,                 0.5514,                 1.1667,                 1.1025,                0.65345,                 1.1755,                0.83713,                0.82862,                 0.8879,                0.71391,                0.78386,                0.50016,                 1.1263,                0.87491,                0.55362,                 1.1442,              0.0044288,              0.0044288,              0.0044288
                     30,                0.89289,                0.54376,                 1.1664,                 1.0851,                0.64538,                 1.1717,                0.85221,                0.82117,                0.89034,                0.71699,                0.77967,                0.48545,                 1.1242,                0.87091,                0.53722,                 1.1406,              0.0042965,              0.0042965,              0.0042965
                     31,                 0.8896,                0.53872,                   1.15,                 1.0908,                0.63291,                 1.1581,                0.85219,                0.81561,                 0.8896,                0.71833,                0.77759,                0.49357,                 1.1235,                 0.8707,                0.54188,                  1.142,              0.0041643,              0.0041643,              0.0041643
                     32,                0.88563,                0.53617,                 1.1596,                 1.0835,                0.63675,                 1.1686,                0.85468,                0.82076,                0.89444,                0.72311,                0.77225,                0.47817,                 1.1177,                0.85923,                0.53332,                 1.1315,               0.004032,               0.004032,               0.004032
                     33,                0.88005,                0.53131,                 1.1489,                 1.0767,                0.62593,                 1.1568,                0.84762,                0.82698,                0.89611,                0.72631,                0.76667,                0.47737,                  1.116,                 0.8526,                0.52558,                 1.1306,              0.0038997,              0.0038997,              0.0038997
