                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1265,                 1.4964,                 1.8059,                 2.1305,                 2.0191,                 1.6695,                0.66116,                0.58079,                0.64342,                0.40812,                  1.409,                 1.0014,                  1.305,                 1.5018,                 1.2828,                 1.2786,               0.067109,             0.00039948,             0.00039948
                      2,                 1.4259,                0.97759,                 1.2915,                 1.5872,                 1.2708,                 1.2746,                0.69718,                0.64832,                0.71284,                 0.4911,                 1.2085,                0.85567,                  1.205,                 1.2814,                 1.0715,                 1.1819,               0.034168,             0.00079157,             0.00079157
                      3,                 1.2863,                0.86907,                 1.2195,                 1.4589,                 1.1118,                 1.2105,                0.72936,                0.69393,                0.75922,                0.53875,                 1.1186,                0.81066,                 1.1531,                 1.2004,                0.97212,                 1.1428,               0.001219,              0.0011757,              0.0011757
                      4,                 1.1901,                 0.7966,                 1.1781,                 1.3721,                 1.0116,                 1.1755,                0.76403,                0.70653,                0.78969,                0.57276,                 1.0691,                0.72104,                 1.1217,                 1.1602,                0.85289,                 1.1205,              0.0011644,              0.0011644,              0.0011644
                      5,                 1.1403,                0.75832,                 1.1572,                 1.3181,                0.95073,                 1.1598,                0.76044,                0.72654,                0.80253,                0.59838,                0.98235,                0.73066,                 1.1021,                 1.0842,                0.86845,                 1.1064,              0.0011644,              0.0011644,              0.0011644
                      6,                 1.1035,                0.73117,                 1.1423,                 1.2856,                0.90324,                 1.1482,                0.78556,                0.73023,                0.81549,                0.61603,                0.96626,                0.66952,                 1.0916,                 1.0668,                0.77317,                 1.0998,              0.0011525,              0.0011525,              0.0011525
                      7,                 1.0702,                0.70081,                 1.1232,                 1.2473,                 0.8541,                 1.1324,                0.78304,                0.76139,                0.83079,                0.63041,                0.94016,                0.63513,                 1.0809,                 1.0258,                0.73321,                 1.0847,              0.0011406,              0.0011406,              0.0011406
                      8,                 1.0548,                0.68636,                 1.1186,                  1.228,                0.84041,                 1.1292,                0.78563,                0.76068,                0.83111,                0.64512,                0.91874,                0.62148,                 1.0763,                 0.9958,                  0.713,                 1.0835,              0.0011287,              0.0011287,              0.0011287
                      9,                 1.0303,                0.67141,                 1.1093,                  1.206,                0.80712,                 1.1226,                0.80909,                0.75721,                 0.8433,                0.64885,                0.91021,                0.61571,                  1.069,                 1.0059,                 0.7076,                 1.0803,              0.0011168,              0.0011168,              0.0011168
                     10,                 1.0143,                0.65795,                 1.1029,                 1.1911,                0.78931,                 1.1159,                 0.8153,                0.77351,                0.85432,                0.66388,                0.88464,                0.58198,                 1.0614,                0.97208,                0.65196,                  1.068,               0.001105,               0.001105,               0.001105
                     11,                0.99624,                0.64212,                 1.0956,                 1.1722,                0.77028,                 1.1097,                0.81528,                0.77612,                 0.8566,                0.66454,                0.87972,                0.57582,                 1.0589,                0.97016,                0.64481,                 1.0668,              0.0010931,              0.0010931,              0.0010931
                     12,                0.98968,                0.63088,                 1.0956,                 1.1614,                0.75438,                 1.1093,                0.82295,                0.78499,                0.86363,                0.66918,                0.88505,                 0.5679,                 1.0609,                 0.9797,                0.63154,                 1.0706,              0.0010812,              0.0010812,              0.0010812
                     13,                0.97828,                0.62608,                 1.0898,                 1.1508,                0.74572,                 1.1031,                0.82478,                0.78285,                0.86487,                0.67839,                0.86206,                0.55797,                 1.0516,                0.95213,                0.62081,                  1.061,              0.0010693,              0.0010693,              0.0010693
                     14,                0.96373,                0.61137,                 1.0818,                 1.1291,                0.72304,                 1.0947,                 0.8317,                0.78142,                0.86901,                0.68392,                 0.8364,                0.54397,                 1.0448,                0.92854,                0.60723,                 1.0537,              0.0010574,              0.0010574,              0.0010574
                     15,                0.95328,                0.60689,                 1.0779,                 1.1216,                0.71002,                  1.092,                0.83042,                0.79107,                0.87193,                0.68749,                0.83451,                0.54669,                 1.0422,                0.91797,                0.60401,                 1.0472,              0.0010456,              0.0010456,              0.0010456
                     16,                0.95095,                0.59758,                 1.0782,                 1.1137,                0.69973,                 1.0912,                0.83874,                0.80302,                0.87603,                0.69633,                0.82343,                0.53084,                  1.042,                 0.9065,                0.57992,                 1.0459,              0.0010337,              0.0010337,              0.0010337
                     17,                0.93879,                0.59224,                 1.0748,                 1.1099,                0.68964,                 1.0893,                0.84323,                0.79787,                 0.8801,                0.69935,                0.81758,                0.53339,                  1.036,                 0.9013,                0.58193,                 1.0438,              0.0010218,              0.0010218,              0.0010218
