                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.82411,                0.58705,                 1.0183,                0.99007,                0.68249,                 1.0258,                0.84828,                0.82955,                0.89884,                0.72665,                0.72708,                0.53375,                0.98879,                0.81377,                0.58354,                 1.0055,               0.007723,               0.007723,               0.007723
                     26,                0.81922,                0.58502,                 1.0227,                0.98298,                0.67769,                 1.0311,                0.85822,                0.83098,                0.90281,                 0.7303,                 0.7213,                 0.5114,                0.98705,                0.80536,                0.55751,                 1.0035,               0.007624,               0.007624,               0.007624
                     27,                0.81231,                0.57234,                 1.0132,                0.97898,                0.66305,                  1.021,                0.86544,                0.82469,                0.90213,                0.73317,                0.71203,                0.51267,                0.98104,                0.79714,                0.56061,                 0.9986,               0.007525,               0.007525,               0.007525
                     28,                0.80761,                0.56642,                 1.0097,                 0.9761,                0.66162,                 1.0181,                0.86592,                0.82965,                0.90433,                0.73495,                0.71068,                0.50508,                0.97952,                0.79812,                0.55289,                0.99807,               0.007426,               0.007426,               0.007426
                     29,                0.80901,                0.56619,                 1.0127,                0.97327,                0.65708,                 1.0211,                 0.8648,                0.83442,                0.90733,                0.73599,                  0.709,                0.50355,                0.97889,                0.79648,                0.55751,                 0.9971,               0.007327,               0.007327,               0.007327
                     30,                0.80503,                0.56182,                 1.0125,                0.96691,                0.65221,                 1.0208,                0.86581,                0.83692,                0.90749,                0.73805,                0.70666,                0.49952,                0.98114,                0.79282,                0.54697,                0.99934,               0.007228,               0.007228,               0.007228
                     31,                0.79817,                0.55826,                 1.0084,                0.96432,                0.64688,                 1.0161,                0.86936,                0.82868,                0.90623,                0.73891,                0.70372,                0.50274,                0.97742,                0.78499,                0.56224,                0.99205,               0.007129,               0.007129,               0.007129
                     32,                0.79605,                0.55177,                 1.0062,                0.95464,                0.64263,                 1.0122,                0.87625,                0.83666,                0.91369,                0.74499,                0.69607,                0.48921,                0.97107,                0.77966,                0.52784,                0.98602,                0.00703,                0.00703,                0.00703
                     33,                0.79198,                0.54918,                 1.0041,                0.95147,                0.63246,                 1.0115,                0.86902,                0.84567,                 0.9127,                0.74542,                0.69639,                0.48482,                0.97251,                 0.7784,                0.52131,                0.98928,               0.006931,               0.006931,               0.006931
                     34,                0.78709,                0.54391,                  1.001,                0.94741,                0.62839,                 1.0083,                0.86142,                 0.8493,                0.91324,                0.74878,                0.69081,                0.48388,                0.97008,                0.77124,                0.52325,                0.98218,               0.006832,               0.006832,               0.006832
                     35,                0.78102,                0.54185,                0.99695,                0.94143,                0.62369,                 1.0034,                0.87071,                0.84665,                0.91583,                0.75173,                0.68975,                0.47994,                0.96881,                0.76863,                0.51753,                0.97934,               0.006733,               0.006733,               0.006733
                     36,                0.78422,                0.54214,                 1.0008,                 0.9433,                0.62453,                 1.0075,                0.88778,                0.84114,                0.91974,                0.75433,                0.68315,                0.46997,                0.96561,                0.76488,                0.50246,                0.98055,               0.006634,               0.006634,               0.006634
                     37,                0.78017,                0.53464,                0.99637,                0.94032,                0.61708,                 1.0021,                0.88334,                0.84493,                0.91957,                0.75416,                0.68234,                0.47097,                0.96476,                0.76197,                0.50806,                0.97698,               0.006535,               0.006535,               0.006535
                     38,                0.77543,                0.53126,                0.99597,                0.93062,                 0.6086,                 1.0015,                0.86546,                0.86331,                0.91966,                0.75739,                0.68063,                0.47446,                0.96385,                0.75854,                0.50997,                0.97669,               0.006436,               0.006436,               0.006436
                     39,                0.77034,                0.52393,                0.99125,                0.92898,                0.59859,                0.99812,                0.88298,                 0.8528,                0.92383,                0.76197,                 0.6735,                0.45909,                0.96054,                0.75254,                0.48602,                0.97417,               0.006337,               0.006337,               0.006337
                     40,                0.76825,                0.52482,                 0.9915,                0.92849,                0.60373,                0.99926,                0.88159,                 0.8493,                 0.9202,                0.76092,                0.67574,                 0.4644,                0.96059,                0.75088,                0.50433,                 0.9723,               0.006238,               0.006238,               0.006238
                     41,                0.76518,                 0.5204,                0.99255,                0.91892,                  0.594,                0.99802,                0.88267,                0.85509,                0.92468,                 0.7644,                0.66907,                0.45039,                0.95649,                0.74535,                 0.4771,                 0.9684,               0.006139,               0.006139,               0.006139
                     42,                0.76361,                0.51946,                0.98752,                0.92127,                0.59096,                0.99447,                0.88584,                0.85749,                0.92563,                0.76645,                0.66661,                 0.4487,                0.95484,                0.74208,                0.47381,                0.96741,                0.00604,                0.00604,                0.00604
                     43,                0.75946,                0.51259,                0.98879,                 0.9164,                 0.5837,                0.99457,                0.88725,                0.85888,                0.92642,                0.76633,                 0.6669,                0.45019,                0.95537,                0.74597,                0.48121,                0.96758,               0.005941,               0.005941,               0.005941
                     44,                0.75893,                0.51576,                0.98966,                0.91314,                0.58986,                0.99554,                0.88402,                0.86088,                0.92689,                0.76748,                0.66408,                0.44826,                0.95447,                0.74132,                0.47922,                0.96513,               0.005842,               0.005842,               0.005842
                     45,                0.75513,                0.50937,                 0.9858,                0.91048,                0.58147,                0.98987,                0.89025,                0.86203,                0.92957,                 0.7707,                0.66028,                0.44097,                0.95198,                0.73694,                0.46736,                0.96289,               0.005743,               0.005743,               0.005743
                     46,                0.74879,                0.50467,                0.98089,                0.90638,                0.57322,                0.98834,                0.88963,                0.87002,                 0.9317,                0.77227,                0.65811,                0.43876,                0.95013,                  0.735,                0.45847,                0.96188,               0.005644,               0.005644,               0.005644
                     47,                0.75038,                0.50401,                0.98394,                0.90462,                0.57577,                0.98929,                 0.8949,                0.86475,                0.93303,                0.77513,                 0.6554,                 0.4348,                0.94752,                0.72886,                0.45715,                0.95921,               0.005545,               0.005545,               0.005545
                     48,                0.74916,                0.50294,                 0.9801,                0.90682,                0.57296,                0.98663,                0.89305,                0.86732,                0.93295,                0.77639,                0.64889,                0.43273,                0.94505,                0.72408,                0.45214,                0.95714,               0.005446,               0.005446,               0.005446
                     49,                0.74585,                 0.5015,                0.98089,                0.90023,                0.57036,                 0.9852,                0.89184,                 0.8681,                0.93259,                0.77614,                0.64965,                0.42886,                0.94569,                 0.7254,                0.44952,                0.95775,               0.005347,               0.005347,               0.005347
                     50,                0.74479,                0.49564,                 0.9795,                0.89751,                0.56294,                0.98481,                0.88846,                0.87319,                0.93368,                0.77737,                0.65022,                0.43019,                0.94573,                0.72321,                0.45013,                0.95511,               0.005248,               0.005248,               0.005248
                     51,                0.73787,                0.49096,                0.97912,                  0.888,                 0.5567,                0.98448,                0.89612,                0.86846,                0.93453,                0.77892,                0.64686,                0.42419,                0.94487,                0.71898,                0.44306,                0.95363,               0.005149,               0.005149,               0.005149
                     52,                0.73433,                0.48728,                0.97355,                0.88766,                 0.5516,                0.97826,                0.89568,                 0.8724,                0.93423,                0.77985,                0.64399,                0.42251,                0.94386,                0.71543,                0.44731,                0.95277,                0.00505,                0.00505,                0.00505
                     53,                0.73317,                0.48545,                0.97324,                0.88472,                0.55678,                0.97763,                0.89857,                0.87562,                0.93654,                0.78393,                 0.6383,                 0.4178,                0.93953,                0.70884,                0.44058,                0.94799,               0.004951,               0.004951,               0.004951
                     54,                0.73345,                0.48512,                0.97272,                0.88681,                0.54895,                0.97811,                0.90294,                 0.8759,                0.93891,                0.78474,                0.63787,                0.41606,                0.93949,                0.71161,                0.43406,                0.94949,               0.004852,               0.004852,               0.004852
                     55,                0.72401,                0.48037,                0.97135,                0.87342,                0.53999,                0.97704,                0.89596,                 0.8847,                0.93898,                0.78708,                0.63642,                0.41089,                 0.9389,                 0.7072,                0.42637,                0.94824,               0.004753,               0.004753,               0.004753
                     56,                0.72695,                0.47915,                0.97146,                0.87571,                0.53762,                0.97746,                0.90063,                0.87971,                0.93899,                0.78582,                0.63648,                0.41255,                0.93817,                0.70762,                0.42921,                0.94748,               0.004654,               0.004654,               0.004654
                     57,                0.72387,                0.47616,                0.97097,                0.87212,                0.53599,                0.97562,                0.90488,                0.87984,                0.94019,                 0.7882,                0.63362,                0.40933,                0.93689,                0.70399,                 0.4193,                 0.9458,               0.004555,               0.004555,               0.004555
                     58,                0.72656,                0.47786,                0.97014,                 0.8802,                0.53918,                0.97488,                0.90612,                0.88019,                0.94045,                0.78913,                0.63176,                0.40687,                0.93586,                 0.7017,                0.42401,                0.94524,               0.004456,               0.004456,               0.004456
                     59,                0.72144,                0.47256,                0.96828,                0.87052,                0.53013,                0.97355,                 0.9064,                0.88384,                0.94244,                0.79163,                0.62843,                0.40291,                0.93336,                0.69954,                0.41499,                0.94304,               0.004357,               0.004357,               0.004357
                     60,                0.71926,                0.46565,                0.96622,                0.86818,                0.52244,                0.97093,                0.90995,                0.88656,                0.94379,                0.79348,                0.62613,                0.39983,                0.93147,                0.69663,                0.40958,                 0.9401,               0.004258,               0.004258,               0.004258
                     61,                0.71551,                0.46525,                0.96742,                0.86465,                0.52213,                0.97203,                0.90504,                0.88482,                0.94321,                0.79413,                0.62513,                0.39907,                0.93187,                0.69338,                0.41268,                0.94043,               0.004159,               0.004159,               0.004159
                     62,                0.71226,                0.46487,                0.96583,                  0.863,                0.51954,                0.97123,                0.90896,                0.88942,                0.94437,                0.79538,                0.62386,                0.39579,                0.93077,                0.69185,                0.40497,                 0.9398,                0.00406,                0.00406,                0.00406
                     63,                0.71288,                0.46595,                0.96353,                0.86009,                0.52181,                0.96932,                0.90684,                0.89035,                0.94447,                0.79658,                0.62168,                0.39491,                0.93054,                0.69077,                 0.4055,                0.93891,               0.003961,               0.003961,               0.003961
                     64,                0.70726,                0.45856,                0.96119,                0.85641,                0.51522,                0.96537,                  0.915,                0.88656,                0.94539,                0.79802,                0.61805,                0.39174,                 0.9292,                 0.6883,                0.40014,                0.93744,               0.003862,               0.003862,               0.003862
                     65,                0.70955,                0.45781,                 0.9601,                0.85656,                0.51031,                0.96394,                0.91338,                0.89228,                0.94604,                0.79814,                0.61878,                0.39041,                 0.9287,                0.68985,                0.39922,                0.93739,               0.003763,               0.003763,               0.003763
                     66,                0.70406,                0.45472,                0.95775,                0.85066,                0.50798,                0.96201,                0.90867,                0.89454,                0.94649,                0.79883,                0.61652,                0.38942,                0.92697,                0.68526,                0.39819,                0.93586,               0.003664,               0.003664,               0.003664
                     67,                 0.7004,                0.45014,                0.95748,                0.84658,                0.50555,                0.96088,                0.91101,                0.89481,                0.94708,                0.80034,                0.61518,                0.38523,                0.92682,                0.68252,                0.39822,                0.93434,               0.003565,               0.003565,               0.003565
                     68,                 0.6969,                0.44621,                0.95396,                0.84337,                0.50326,                0.95853,                0.92191,                0.88999,                0.94803,                0.80172,                0.61387,                 0.3831,                0.92567,                0.68257,                0.39173,                0.93359,               0.003466,               0.003466,               0.003466
                     69,                0.69613,                0.44796,                0.95721,                0.84148,                 0.4994,                0.96143,                0.91894,                0.88864,                0.94738,                0.80107,                 0.6126,                 0.3826,                0.92465,                0.68202,                0.39082,                0.93225,               0.003367,               0.003367,               0.003367
                     70,                0.69587,                0.44634,                0.95456,                0.84362,                0.50071,                 0.9588,                0.91886,                0.89078,                 0.9477,                0.80241,                0.60987,                0.38064,                 0.9235,                 0.6786,                0.39088,                0.93163,               0.003268,               0.003268,               0.003268
                     71,                0.69378,                0.44339,                0.95508,                0.84277,                0.49078,                0.96074,                0.91862,                0.89543,                0.94924,                0.80446,                 0.6078,                0.37857,                0.92268,                0.67585,                0.38289,                0.93134,               0.003169,               0.003169,               0.003169
                     72,                0.69069,                0.43785,                0.95321,                0.83576,                0.48681,                0.95832,                0.91735,                 0.8963,                0.94942,                0.80527,                0.60617,                0.37568,                0.92145,                0.67431,                0.37869,                0.93047,                0.00307,                0.00307,                0.00307
                     73,                 0.6857,                0.43768,                0.95281,                0.82958,                 0.4857,                0.95656,                0.91855,                0.89722,                0.94995,                0.80592,                 0.6055,                0.37508,                0.92142,                0.67212,                0.38084,                0.92887,               0.002971,               0.002971,               0.002971
                     74,                0.68679,                0.43574,                0.95095,                 0.8306,                 0.4868,                0.95542,                0.92325,                0.89822,                0.95063,                0.80594,                0.60482,                0.37233,                0.92079,                0.67266,                0.37953,                0.92906,               0.002872,               0.002872,               0.002872
                     75,                0.68592,                0.43565,                0.95105,                0.82608,                0.48398,                0.95571,                0.92384,                0.89538,                0.95074,                0.80731,                0.60316,                0.37175,                0.91991,                0.66959,                 0.3792,                0.92714,               0.002773,               0.002773,               0.002773
                     76,                   0.68,                0.43171,                0.94991,                0.82339,                0.48269,                0.95438,                0.92155,                0.89951,                0.95081,                0.80757,                0.60237,                0.37037,                0.91958,                0.66839,                0.37777,                0.92675,               0.002674,               0.002674,               0.002674
                     77,                0.67718,                0.42724,                0.94761,                0.81887,                0.47304,                0.95248,                0.92264,                0.89815,                 0.9506,                  0.808,                0.60119,                0.36864,                0.91907,                0.66774,                  0.376,                 0.9266,               0.002575,               0.002575,               0.002575
                     78,                0.67886,                 0.4273,                0.94647,                 0.8219,                0.47385,                 0.9518,                0.92754,                0.89633,                0.95134,                0.80851,                0.59993,                0.36692,                0.91856,                0.66598,                0.37181,                0.92611,               0.002476,               0.002476,               0.002476
                     79,                0.67352,                0.42221,                 0.9443,                0.81723,                0.46457,                0.94968,                0.92132,                 0.9033,                0.95227,                 0.8099,                0.59807,                0.36636,                0.91765,                0.66422,                0.37015,                0.92525,               0.002377,               0.002377,               0.002377
                     80,                0.67479,                0.42341,                0.94409,                0.81722,                0.46757,                  0.949,                0.92598,                0.90008,                0.95256,                0.81041,                0.59668,                0.36401,                0.91715,                0.66212,                0.36769,                0.92469,               0.002278,               0.002278,               0.002278
                     81,                0.66752,                 0.4167,                0.94213,                0.80779,                0.46156,                0.94617,                0.92828,                0.90082,                0.95279,                0.81094,                0.59536,                0.36234,                0.91628,                0.66051,                 0.3669,                0.92337,               0.002179,               0.002179,               0.002179
                     82,                0.67055,                0.41886,                0.94205,                0.81479,                0.46042,                 0.9473,                0.93296,                0.89876,                0.95331,                0.81194,                0.59441,                0.36127,                0.91562,                0.65975,                 0.3626,                0.92342,                0.00208,                0.00208,                0.00208
                     83,                0.66737,                 0.4161,                0.93963,                 0.8121,                0.46012,                0.94466,                 0.9283,                0.90199,                0.95347,                0.81296,                0.59301,                0.36012,                 0.9144,                0.65825,                0.36353,                0.92216,               0.001981,               0.001981,               0.001981
                     84,                0.66411,                0.41305,                0.94141,                0.80415,                0.45307,                0.94609,                0.93189,                0.89994,                0.95429,                0.81377,                0.59228,                0.35898,                0.91408,                0.65879,                0.35917,                0.92257,               0.001882,               0.001882,               0.001882
                     85,                0.66091,                0.41144,                0.93902,                0.79911,                0.45188,                0.94255,                0.92617,                 0.9054,                0.95499,                0.81454,                0.59115,                0.35763,                 0.9136,                0.65674,                0.35844,                0.92124,               0.001783,               0.001783,               0.001783
                     86,                0.65891,                0.40885,                0.94073,                0.79489,                0.44812,                0.94437,                0.93332,                0.90065,                0.95465,                0.81503,                0.59011,                0.35674,                0.91301,                0.65502,                 0.3578,                0.92046,               0.001684,               0.001684,               0.001684
                     87,                0.65514,                0.40432,                0.93658,                 0.7924,                0.43981,                0.94138,                0.93217,                0.90241,                0.95564,                0.81618,                 0.5892,                0.35505,                0.91235,                0.65355,                0.35418,                0.91992,               0.001585,               0.001585,               0.001585
                     88,                0.65551,                0.40456,                0.93877,                0.79291,                 0.4405,                0.94299,                0.92867,                0.90745,                 0.9562,                0.81731,                0.58748,                0.35378,                0.91147,                0.65217,                0.35161,                0.91927,               0.001486,               0.001486,               0.001486
                     89,                0.65464,                0.40339,                0.93489,                0.79662,                0.44034,                 0.9389,                0.93628,                0.90215,                 0.9563,                0.81774,                0.58639,                0.35292,                 0.9111,                0.65052,                0.35121,                0.91871,               0.001387,               0.001387,               0.001387
                     90,                0.65253,                0.40059,                0.93394,                0.79322,                0.43596,                0.93878,                0.93654,                0.90172,                0.95662,                 0.8182,                0.58564,                0.35175,                0.91071,                0.64984,                0.34904,                0.91821,               0.001288,               0.001288,               0.001288
                     91,                0.61172,                0.36145,                 0.9193,                0.71347,                0.35968,                0.92231,                0.93672,                0.90301,                0.95683,                0.81835,                0.58502,                0.34918,                 0.9104,                0.64931,                0.34577,                0.91785,               0.001189,               0.001189,               0.001189
                     92,                0.60396,                0.35365,                0.91593,                0.70795,                0.35374,                 0.9187,                0.93355,                0.90995,                0.95704,                0.81909,                 0.5842,                0.34623,                0.90991,                0.64938,                0.34041,                 0.9176,                0.00109,                0.00109,                0.00109
                     93,                0.59954,                0.34919,                0.91638,                0.69703,                 0.3478,                0.91893,                0.93977,                0.90838,                0.95759,                0.81973,                0.58357,                0.34484,                0.90964,                0.64833,                0.33754,                0.91744,               0.000991,               0.000991,               0.000991
